510	PAU DARCO	29	
511	PEDRO AFONSO	29	
512	PEIXE	29	
513	PEQUIZEIRO	29	
514	COLMÉIA	29	
515	PINDORAMA DO TOCANTINS	29	
516	PIRAQUÊ	29	
517	PIUM	29	
518	PONTE ALTA DO BOM JESUS	29	
519	PONTE ALTA DO TOCANTINS	29	
520	PORTO ALEGRE DO TOCANTINS	29	
521	PORTO NACIONAL	29	
522	PRAIA NORTE	29	
523	PRESIDENTE KENNEDY	29	
524	PUGMIL	29	
525	RECURSOLÂNDIA	29	
526	RIACHINHO	29	
527	RIO DA CONCEIÇÃO	29	
528	RIO DOS BOIS	29	
529	RIO SONO	29	
530	SAMPAIO	29	
531	SANDOLÂNDIA	29	
532	SANTA FÉ DO ARAGUAIA	29	
533	SANTA MARIA DO TOCANTINS	29	
534	SANTA RITA DO TOCANTINS	29	
535	SANTA ROSA DO TOCANTINS	29	
536	SANTA TEREZA DO TOCANTINS	29	
537	SANTA TEREZINHA DO TOCANTINS	29	
538	SÃO BENTO DO TOCANTINS	29	
539	SÃO FÉLIX DO TOCANTINS	29	
540	SÃO MIGUEL DO TOCANTINS	29	
541	SÃO SALVADOR DO TOCANTINS	29	
542	SÃO SEBASTIÃO DO TOCANTINS	29	
543	SÃO VALÉRIO	29	
544	SILVANÓPOLIS	29	
545	SÍTIO NOVO DO TOCANTINS	29	
546	SUCUPIRA	29	
547	TAGUATINGA	29	
548	TAIPAS DO TOCANTINS	29	
549	TALISMÃ	29	
550	PALMAS	29	
551	TOCANTÍNIA	29	
552	TOCANTINÓPOLIS	29	
553	TUPIRAMA	29	
554	TUPIRATINS	29	
555	WANDERLÂNDIA	29	
556	XAMBIOÁ	29	
557	AÇAILÂNDIA	18	
558	AFONSO CUNHA	18	
559	ÁGUA DOCE DO MARANHÃO	18	
560	ALCÂNTARA	18	
561	ALDEIAS ALTAS	18	
562	ALTAMIRA DO MARANHÃO	18	
563	ALTO ALEGRE DO MARANHÃO	18	
564	ALTO ALEGRE DO PINDARÉ	18	
565	ALTO PARNAÍBA	18	
566	AMAPÁ DO MARANHÃO	18	
567	AMARANTE DO MARANHÃO	18	
568	ANAJATUBA	18	
569	ANAPURUS	18	
570	APICUM-AÇU	18	
571	ARAGUANÃ	18	
572	ARAIOSES	18	
573	ARAME	18	
574	ARARI	18	
575	AXIXÁ	18	
576	BACABAL	18	
577	BACABEIRA	18	
578	BACURI	18	
579	BACURITUBA	18	
580	BALSAS	18	
581	BARÃO DE GRAJAÚ	18	
582	BARRA DO CORDA	18	
583	BARREIRINHAS	18	
584	BELÁGUA	18	
585	BELA VISTA DO MARANHÃO	18	
586	BENEDITO LEITE	18	
587	BEQUIMÃO	18	
588	BERNARDO DO MEARIM	18	
589	BOA VISTA DO GURUPI	18	
590	BOM JARDIM	18	
591	BOM JESUS DAS SELVAS	18	
592	BOM LUGAR	18	
593	BREJO	18	
594	BREJO DE AREIA	18	
595	BURITI	18	
596	BURITI BRAVO	18	
597	BURITICUPU	18	
598	BURITIRANA	18	
599	CACHOEIRA GRANDE	18	
600	CAJAPIÓ	18	
601	CAJARI	18	
602	CAMPESTRE DO MARANHÃO	18	
603	CÂNDIDO MENDES	18	
604	CANTANHEDE	18	
605	CAPINZAL DO NORTE	18	
606	CAROLINA	18	
607	CARUTAPERA	18	
608	CAXIAS	18	
609	CEDRAL	18	
610	CENTRAL DO MARANHÃO	18	
611	CENTRO DO GUILHERME	18	
612	CENTRO NOVO DO MARANHÃO	18	
613	CHAPADINHA	18	
614	CIDELÂNDIA	18	
615	CODÓ	18	
616	COELHO NETO	18	
617	COLINAS	18	
618	CONCEIÇÃO DO LAGO-AÇU	18	
619	COROATÁ	18	
620	CURURUPU	18	
621	DAVINÓPOLIS	18	
622	DOM PEDRO	18	
623	DUQUE BACELAR	18	
624	ESPERANTINÓPOLIS	18	
625	ESTREITO	18	
626	FEIRA NOVA DO MARANHÃO	18	
627	FERNANDO FALCÃO	18	
628	FORMOSA DA SERRA NEGRA	18	
629	FORTALEZA DOS NOGUEIRAS	18	
630	FORTUNA	18	
631	GODOFREDO VIANA	18	
632	GONÇALVES DIAS	18	
633	GOVERNADOR ARCHER	18	
634	GOVERNADOR EDISON LOBÃO	18	
635	GOVERNADOR EUGÊNIO BARROS	18	
636	GOVERNADOR LUIZ ROCHA	18	
637	GOVERNADOR NEWTON BELLO	18	
638	GOVERNADOR NUNES FREIRE	18	
639	GRAÇA ARANHA	18	
640	GRAJAÚ	18	
641	GUIMARÃES	18	
642	HUMBERTO DE CAMPOS	18	
643	ICATU	18	
644	IGARAPÉ DO MEIO	18	
645	IGARAPÉ GRANDE	18	
646	IMPERATRIZ	18	
647	ITAIPAVA DO GRAJAÚ	18	
648	ITAPECURU MIRIM	18	
649	ITINGA DO MARANHÃO	18	
650	JATOBÁ	18	
651	JENIPAPO DOS VIEIRAS	18	
652	JOÃO LISBOA	18	
653	JOSELÂNDIA	18	
654	JUNCO DO MARANHÃO	18	
655	LAGO DA PEDRA	18	
656	LAGO DO JUNCO	18	
657	LAGO VERDE	18	
658	LAGOA DO MATO	18	
659	LAGO DOS RODRIGUES	18	
660	LAGOA GRANDE DO MARANHÃO	18	
661	LAJEADO NOVO	18	
662	LIMA CAMPOS	18	
663	LORETO	18	
664	LUÍS DOMINGUES	18	
665	MAGALHÃES DE ALMEIDA	18	
666	MARACAÇUMÉ	18	
667	MARAJÁ DO SENA	18	
668	MARANHÃOZINHO	18	
669	MATA ROMA	18	
670	MATINHA	18	
671	MATÕES	18	
672	MATÕES DO NORTE	18	
673	MILAGRES DO MARANHÃO	18	
674	MIRADOR	18	
675	MIRANDA DO NORTE	18	
676	MIRINZAL	18	
677	MONÇÃO	18	
678	MONTES ALTOS	18	
679	MORROS	18	
680	NINA RODRIGUES	18	
681	NOVA COLINAS	18	
682	NOVA IORQUE	18	
683	NOVA OLINDA DO MARANHÃO	18	
684	OLHO DÁGUA DAS CUNHÃS	18	
685	OLINDA NOVA DO MARANHÃO	18	
686	PAÇO DO LUMIAR	18	
687	PALMEIRÂNDIA	18	
688	PARAIBANO	18	
689	PARNARAMA	18	
690	PASSAGEM FRANCA	18	
691	PASTOS BONS	18	
692	PAULINO NEVES	18	
693	PAULO RAMOS	18	
694	PEDREIRAS	18	
695	PEDRO DO ROSÁRIO	18	
696	PENALVA	18	
697	PERI MIRIM	18	
698	PERITORÓ	18	
699	PINDARÉ-MIRIM	18	
700	PINHEIRO	18	
701	PIO XII	18	
702	PIRAPEMAS	18	
703	POÇÃO DE PEDRAS	18	
704	PORTO FRANCO	18	
705	PORTO RICO DO MARANHÃO	18	
706	PRESIDENTE DUTRA	18	
707	PRESIDENTE JUSCELINO	18	
708	PRESIDENTE MÉDICI	18	
709	PRESIDENTE SARNEY	18	
710	PRESIDENTE VARGAS	18	
711	PRIMEIRA CRUZ	18	
712	RAPOSA	18	
713	RIACHÃO	18	
714	RIBAMAR FIQUENE	18	
715	ROSÁRIO	18	
716	SAMBAÍBA	18	
717	SANTA FILOMENA DO MARANHÃO	18	
718	SANTA HELENA	18	
719	SANTA INÊS	18	
720	SANTA LUZIA	18	
721	SANTA LUZIA DO PARUÁ	18	
722	SANTA QUITÉRIA DO MARANHÃO	18	
723	SANTA RITA	18	
724	SANTANA DO MARANHÃO	18	
725	SANTO AMARO DO MARANHÃO	18	
726	SANTO ANTÔNIO DOS LOPES	18	
727	SÃO BENEDITO DO RIO PRETO	18	
728	SÃO BENTO	18	
729	SÃO BERNARDO	18	
730	SÃO DOMINGOS DO AZEITÃO	18	
731	SÃO DOMINGOS DO MARANHÃO	18	
732	SÃO FÉLIX DE BALSAS	18	
733	SÃO FRANCISCO DO BREJÃO	18	
734	SÃO FRANCISCO DO MARANHÃO	18	
735	SÃO JOÃO BATISTA	18	
736	SÃO JOÃO DO CARÚ	18	
737	SÃO JOÃO DO PARAÍSO	18	
738	SÃO JOÃO DO SOTER	18	
739	SÃO JOÃO DOS PATOS	18	
740	SÃO JOSÉ DE RIBAMAR	18	
741	SÃO JOSÉ DOS BASÍLIOS	18	
742	SÃO LUÍS	18	
743	SÃO LUÍS GONZAGA DO MARANHÃO	18	
744	SÃO MATEUS DO MARANHÃO	18	
745	SÃO PEDRO DA ÁGUA BRANCA	18	
746	SÃO PEDRO DOS CRENTES	18	
747	SÃO RAIMUNDO DAS MANGABEIRAS	18	
748	SÃO RAIMUNDO DO DOCA BEZERRA	18	
749	SÃO ROBERTO	18	
750	SÃO VICENTE FERRER	18	
751	SATUBINHA	18	
752	SENADOR ALEXANDRE COSTA	18	
753	SENADOR LA ROCQUE	18	
754	SERRANO DO MARANHÃO	18	
755	SÍTIO NOVO	18	
756	SUCUPIRA DO NORTE	18	
757	SUCUPIRA DO RIACHÃO	18	
758	TASSO FRAGOSO	18	
759	TIMBIRAS	18	
760	TIMON	18	
761	TRIZIDELA DO VALE	18	
762	TUFILÂNDIA	18	
763	TUNTUM	18	
764	TURIAÇU	18	
765	TURILÂNDIA	18	
766	TUTÓIA	18	
767	URBANO SANTOS	18	
768	VARGEM GRANDE	18	
769	VIANA	18	
770	VILA NOVA DOS MARTÍRIOS	18	
771	VITÓRIA DO MEARIM	18	
772	VITORINO FREIRE	18	
773	ZÉ DOCA	18	
774	ACAUÃ	22	
775	AGRICOLÂNDIA	22	
